O,ప్రాణవాయువు
oaf,జడుడు
oafish,జడుడైన
oakum,పీచు
oar,తండుకోల
oath,ఒట్టు
obduracy,కఠినత్వము
obdurate,కఠినమైన
obedience,భవ్యత
obedient,విధేయుడైన
obeisance,దండము
obesity,బరువు
obit,మరణము
object,ఉద్దేశము
objection,ఆక్షేపణ
objectionable,ఆక్షేపగ్రస్తమైన
objective,విశేషమైన
objector,ఆక్షేపించేవాడు
objurgation,దూషణ
objurgatory,దూషణమైన
oblation,నైవేద్యము
obligation,నియమము
obligatory,కర్తవ్యమైన
oblige,నిర్బంధించుట
obliged,నిర్బంధించబడ్డ
obliging,ఉపకారియైన
obligingly,ఉపకారముగా
oblique,వంకరైన
obliquely,అయిమూలగా
obliqueness,వంకర
obliquity,వంకరతనము
obliterate,చెరుపుట
obliterated,చెడిపోయిన
obliteration,చెడిపోవడము
oblivion,మరుపు
oblivious,మరిచిన
obloquy,అపఖ్యాతి
obnoxious,అర్హమైన
obnoxiously,తప్పుగా
obscene,బండైన
obscenely,బండగా
obsceneness,పలవతనము
obscenity,పలవతనము
obscure,చీకటికమ్ముట
obscurely,అస్పష్టముగా
obscurity,అంధకారము
obsequious,విధేయుడైన
obsequiously,నైచ్యముగా
obsequiousness,నైచ్యము
observable,అగుపడే
observance,ఆచారము
observation,కనుక్కోవడము
observe,అనుట
observer,కనుక్కొనేవాడు
obsolete,చెల్లని
obstacle,అడ్డి
obstinacy,ముష్కరత్వము
obstinate,ముష్కరమైన
obstinately,ముష్కరముగా
obstinateness,మూర్ఖత్వము
obstreperous,అరిచే
obstreperously,అరుస్తూ
obstruct,అడుచుట
obstructed,అడ్డుపడ్డ
obstruction,ఆటంకము
obstructive,భంగపరిచే
obtain,జరుగుట
obtainable,పొందతగ్గ
obtained,చిక్కిన
obtrude,చొరబెట్టుట
obtrusive,మొండియైన
obtuse,మూఢుడైన
obviate,నివారించుట
obvious,విశదమైన
obviously,ప్రత్యక్షముగా
obviousness,వైశిద్యము
occasion,అక్కర
occasionally,అక్కడక్కడా
occidental,పడమటి
occlude,మూయు
occult,అగుపడని
occultation,మూఢము
occupancy,అనుభవము
occupant,అనుభవించేవాడు
occupation,ఉద్యోగము
occupier,అనుభవించేవాడు
occupy,అనుభవించుట
occur,కలుగుట
occurrence,సంఘటన
occurrent,సంఘటన
ocean,సముద్రము
Oct,అక్టోబర్
octad,ఎనిమిది
octet,ఎనిమిది
October,అక్టోబర్
octonary,ఎనిమిది
octupled,యెనిమిదింతలు
ocular,ప్రత్యక్షమైన
oculus,కళ్ళు
odd,బేసియైన
oddity,విచిత్రము
oddness,వింత
odds,వ్యత్యాసము
odious,అసహ్యమైన
odiously,అసహ్యముగా
odiousness,అసహ్యము
odium,ద్వేషము
odor,సువాసన
odoriferous,పరిమళించే
odoriferousness,వాసన
odorless,వాసనలేని
odorous,పరిమళించే
odour,పరిమళము
odourless,వాసనలేని
oecumenical,సర్వసాధారణమైన
Oesterreich,ఆస్ట్రియా
of,యొక్క
of all time,ఎప్పుడైనా
off,మోసపుచ్చుట
offal,కశ్మలము
offence,అపరాధము
offenceless,నిరపరాధియైన
offender,అపరాధి
offensive,అసహ్యకరమైన
offensively,అసహ్యముగా
offer,యత్నము
offered,ఇయ్యవచ్చిన
offering,కానుక
offhand,అవలీలగా
office,ఉద్యోగము
officeholder,అధికారి
officer,అధికారి
officered,సరదార్లుగల
official,అధికారి
officially,అధికారమునుపట్టి
officious,అధికప్రసంగియైన
officiously,అధికప్రసంగముగా
officiousness,అధికప్రసంగము
offset,అంకురము
offspring,సంతతి
oft,పదేపదే
often,పదేపదే
oftenness,మాటిమాటికి
oftentimes,పదేపదే
ofttimes,సుమారుగా
ogdoad,ఎనిమిది
ogle,కీకంటిచూపు
ogling,అపాంగదృష్టి
ogre,బాలఘాతకుడు
ogress,పూతన
oil,తైలం
oil cake,గానుగపిండి
oil lamp,దీపము
oiliness,జిడ్డు
oilman,గాండ్లవాడు
oily,జిడ్డుగల
ointment,తైలము
OK,మంచి
Okay,మంచి
okra,బెండకాయ
