L,లీటర్
la,అదుగో
lab,కుర్రవాడు
label,ఉల్లాకు
labelled,విలాసమువేసిన
labial,ఔష్ఠ్యము
laboratory,ప్రయోగశాల
laborious,ఓపికగల
laboriously,కష్టముగా
laboriousness,ఓపిక
labour,కష్టము
labourer,కమతగాడు
labyrinth,చిట్టడవి
labyrinthine,చెడ్డచిక్కైన
lac,లక్క
lace,సరిగ
laced,అల్లిన
lacerated,గాయమైన
laceration,క్షతము
lacework,అల్లిక
lacing,అల్లిక
lack,కొరత
lackaday,అమ్మకచెల్ల
lackey,చిటిగాడు
lacklustre,మందమైన
laconically,టూకిగా
ladder,నిచ్చెన
lading,కేవు
ladle,పెద్దగెరిటె
lady,నాయకి
lady friend,స్నేహితురాలు
lady of pleasure,వేశ్య
lady of the house,గృహిణి
lady-bird,ఆరుద్రపురుగు
ladylike,నాగరీకమైన
ladyship,ఆమెగారు
lag,జబ్బుగానడిచే
Lagenaria siceraria,కవచం
lagoon,మడుగు
laical,లౌకీక
laid,ఉంచిన
lair,మృగనివాసస్థానము
laity,లౌకికులు
lake,జలపాతం
LAM,లేచిపోయిన
lamb,గొర్రెపిల్ల
lambent,కదిలే
lambkin,గౌర్రెపిల్ల
lame,కుంటి
lamed,కుంటిగావుండే
lamellibranch,ముత్యపుచిప్ప
lamely,కుంటిగా
lameness,కుంటితనము
lament,ఏడ్పు
lamentable,దుఃఖకరమైన
lamentably,దుఃఖకరముగా
lamentation,ప్రలాపము
lamia,ముఖవ్యాళరాక్షసి
lamina,పొర
laminated,పొరలుగల
lamp,దీపము
lamp oil,చమురు
lamprey,పెద్దమలుగుచేప
lance,నజా
lancet,శస్త్రము
lanch,వేయుట
Land,నేల
land,మట్టి
land mile,మైలు
land-tax,నేలపన్ను
landed,దించిన
landflood,ప్రవాహము
landholder,నేలసొంతగాడు
landing,దిగడము
landing-place,దిగేస్థలము
landlady,ఇంటియజమానురాలు
landlord,ఇంటిమానుడు
landrover,జీప్
landslide,ఏటవాలు
landslip,ఏటవాలు
landwaiter,రేవుబంట్రోతు
landward,భూమితట్టుకై
lane,సందు
languaged,భాషగల
languid,నిస్త్రాణగల
languidly,అలసి
languidness,బడలిక
languish,ఉడుగుట
languishing,కృశించే
languishingly,అతివ్యామోహముగా
languishment,అలుపు
langur,లంగూర్
lank,సన్నటి
lantern,లాంతరు
lap,ఒడి
lapdog,కుచ్చికుక్క
lapful,నిండువొడి
lapse,గడవడము
lapsed,గడిచిన
Laptop,సంచార గణిని
lapwing,ఉల్లంగిపిట్ట
larboard,ఎడమతట్టు
larceny,స్వల్పదొంగతనము
lard,పందికొవ్వు
larder,గొప్ప
large intestine,పెద్దప్రేగు
largely,విశాలముగా
largeness,స్థౌల్యము
lark,భరతిపిట్ట
larn,నేర్చుకొనుట
larum,ఎచ్చరిక
larva,ఈపి
larynx,కంఠనాళము
lascar,కలాసువాడు
lascivious,కామవికారముగల
lasciviously,కామవికారము
lash,దెబ్బ
lass,కుర్రది
lassitude,అలసట
last,జోటిఅచ్చు
lasting,నిత్యమైన
lastly,తుదకు
latch,గడియ
late,గతించిన
lately,ఇటీవల
lateness,ఆలస్యము
latent,అంతర్గర్భితమైన
later,ఇటీవలి
later on,తర్వాత
lateral,పక్కనువుండే
laterally,పక్కగా
latest,కడాపటి
latex,పాలు
lath,బద్ద
lathe,తరిమిడిదొడ్డి
lathee,కర్ర
lather,నురుగు
lathi,కర్ర
Latin,లాటిన్
latinism,లాటిన్‌భాషీయము
latinity,లాటిన్‌భాషాపటిమ
latinized,లాటిన్‌భాషాజటిలమైన
latitude,విశాలత
latitudinarianism,స్వేచ్ఛాచారిత్వము
latter,వెనకటి
latterly,ఇటీవల
latticed,కటాంజనముగల
laud,స్తుతించుట
laudable,మంచి
laudably,బాగా
laudanum,అభినిద్రావకము
lauded,స్తుతించబడ్డ
laugh,నవ్వు
laughable,నవ్వించే
laugher,నవ్వేవాడు
laughter,నవ్వు
launch,ప్రారంభించటం
laundress,చాకలది
laundry,చాకలపనిచేసేగది
