H,హైడ్రోజన్
ha,అయ్యో
haberdasher,బోడికుళ్ళాయీలు
haberdashery,బోడికుళ్ళాయీలు
habergeon,కంఠకవచము
habiliment,దుస్తులు
habilitate,తొడుగు
habit,వాడిక
habitable,వాసముచేయతగిన
habitant,నివాసి
habitation,వాసస్థానము
habitual,అలవాటైన
habitually,అలవాటుగా
habituate,అభ్యాసపరచుట
habituated,అభ్యాసపడ్డ
habitude,అభ్యాసము
hack,కూలిగుర్రము
hackery,గాడి
hackle,చక్కచేయనిపట్టు
hackneyed,వాడికపడ్డ
haddock,మత్స్యవిశేషము
hades,పితృలోకము
haft,పిడి
hag,చుప్పనాతి
haggling,నచ్చుబేరము
hagiographer,పురాణకర్త
hagiographic,పురాణసంబంధమైన
hagiography,పౌరాణికము
hagiology,పౌరాణికము
haha,హాహా
hail,కరకలు
hailstone,కరకము
hair,వెంట్రుక
hairbrain,చలచిత్తముగల
hairbrained,చలచిత్తముగల
hairbreadth,ఈషత్తు
haircloth,కంబళి
hairiness,నూగు
hairless,బోడి
halberd,ఈటె
halcyon,హంస
hale,ఈడ్చుట
half,సగం
half a dozen,ఆరు
half dozen,ఆరు
half sister,అక్క
half-dozen,ఆరు
half-sister,అక్క
half-wit,మూర్ఖుడు
Hall,అడ్డదారి
hall,అడ్డదారి
hall porter,ద్వారపాలకుడు
hallelujah,జయంజయం
halloo,కూయుట
hallowed,పావనమైన
hallway,అడ్డదారి
halo,పరిధి
halt,కుంటడము
halter,పలుపు
halting,కుంటడము
haltingly,కుంటుతూ
ham,తొడ
hamadryad,వనదేవత
hamlet,పల్లె
hammer,సుత్తె
hamper,డొల్ల
hampered,కలవరపడే
hanaper,ఖజానా
hand,కరము
hand pump,కుళాయి
hand-barrow,చెయిపలక
handbasket,బుట్ట
handbill,చీటి
handbook,బాలశిక్ష
handbreadth,బెత్తెడు
handclap,చప్పట్లు
handcuff,బేడీలు
handcuffs,గుంజులాట
handed,అంచుకొన్న
handful,చేరెడు
handgrip,పిడి
handgun,తుపాకీ
handicap,వికలాంగులు
handicapped,వికలాంగులు
handicraft,కంచర
handicraftsmen,కంచర
handily,చమత్కారముగా
handiness,చమత్కారము
handiwork,కల్పన
handkerchief,చవుకము
handle,కాడ
handled,తాకిన
handlock,బేడీలు
handmaid,పనికత్తె
handout,భిక్ష
handsaw,చేతిరంపము
handsel,బోణిచేసుట
handsome,అందమైన
handsomely,చక్కగా
handsomeness,అందము
handspike,సన్న
handwriting,అక్షరములు
handy,ఉలకనైన
handy-dandy,హుం
hang,వేలదీసుట
hanger,ఖడ్గము
hanging,ఉరితియ్యడము
hangman,ఉరిదీసేవాడు
hank,నూలుకండె
hanker,అతురపడుట
hankering,అతయాశ
hankey,చేతిగుడ్డ
hankie,చేతిగుడ్డ
hanky,చేతిగుడ్డ
hap,అదృష్టము
haphazard,అదృష్టవశము
hapless,దురదృష్టమైన
haply,వొకవేళ
happen,కలుగుట
happening,సంఘటన
happiest,సుఖమైన
happily,ఆనందముగా
happiness,ఆనందము
happy,ఆనందం
haram,అంతఃపురము
harangue,ఉపన్యాసము
harass,ఉపద్రవపెట్టుట
harassed,కడగండ్లుపడ్డ
harassing,ఆయాసకరమైన
harassment,ఉపద్రవము
harbinger,దలూత
harbor,ఓడరేవు
harbour,ఓడరేవు
hard,దృఢమైన
hard cash,డబ్బు
hard currency,డబ్బు
hard drink,సారా
hard liquor,సారా
hard-line,నిష్టగల
harden,గట్టిపడుట
hardened,క్రూరమైన
hardfisted,పిసినారియైన
hardheaded,సూక్ష్మబుద్ధిగల
hardhearted,క్రూరహృదయముగల
hardheartedness,క్రౌర్యము
hardihood,కాయపుష్టి
hardiness,కాయపుష్టి
hardline,నిష్టగల
hardly,కఠినముగా
hardness,కాఠిన్యము
hardship,కడగండ్లు
hardware,లోహసామగ్రి
hardworking,శ్రమించే
hardy,గట్టి
hare,కుందేలు
harebell,వొకపుష్పము
harelipped,మొర్రిపెదవిగల
harem,అంతఃపురము
hark,ఆలంకించుట
harkee,ఒరే
