nab,దొంగిలించుట
nabob,నబాబు
nag,గుర్రపుతట్టు
nail,గోరు
naked,దిగంబరమైన
nakedly,తేటగా
nakedness,దిగంబరత్వము
namby-pamby,జబ్బు
name,నామము
named,ఉదాహరించిన
nameless,అనరాని
namely,అనగా
namesake,పేరిటివాడు
Namibia,నమీబియా
naming,నియమించడం
Nanak,గురునానక్
nanny-goat,ఆడమేక
nanus,మరుగుజ్జు
nap,అల్పనిద్ర
nape,మూపు
napkin,తళువము
nappy,నురుగుకట్టిన
nard,జటామాంసి
narrate,విన్నవించుట
narration,కథ
narrative,కథ
narrator,సూత్రధారుడు
narrow,చిన్న
narrowly,గురుతుగా
narrowness,యిరకటము
nasal,అనునాశికమైన
nascence,జననం
nascency,జననం
nascent,ప్రారంభమయ్యే
nastily,అసహ్యముగా
natal chart,భావ చక్రము
natal day,పుట్టినరోజు
natator,ఈతగాడు
natatorium,చెరువు
nation,ఏకదేశస్థులు
national,ప్రజలు
national congress,జాతీయ మహాసభ
nationalisation,జాతీయము
nationalist,దేశభక్తి
nationality,జాత్యభిమానము
nationally,జాతికంతా
native,నల్లవాడు
nativity,జననం
Nativity,జననం
Natty,సొగసైన
natural,వట్టిపశువు
natural endowment,ప్రతిభ
natural event,సంఘటన
natural philosophy,భౌతికశాస్త్రం
natural rubber,రబ్బరు
naturalistic,నిజమైన
naturalized,సహజమైపోయిన
naturally,సహజముగా
naturalness,స్వభావానుజాయిత్వము
nature,మాయ
naught,అభావము
naughtily,కొంటెతనముగా
naughtiness,కొంటెతనము
naughty,కొంటె
nausea,అరోచికము
nauseous,చీదరైన
nauseously,అసహ్యముగా
nauseousness,అసహ్యము
naval forces,నౌకాదళం
navel,నాభి
navigate,పోవుట
navigator,వాడవాడు
Navy,నౌకాదళం
nay,అంతేకాకుండా
NE,ఈశాన్యం
near,సన్నిహితమైన
nearby,దగ్గరగా
Nearly,కొంచెం తక్కువగా
nearness,సామీప్యము
neat,నాణ్యమైన
neatly,నాణ్యముగా
neatness,నాణ్యము
NEB,ముక్కు
nebulosity,మందారము
necessarily,అగత్యముగా
necessary,అగత్యమైనది
necessitate,నిర్బంధించుట
necessitous,నిరాశ్రయులైన
necessity,అక్కర
neck,అర్రు
neckerchief,పయిట
necklace,హారము
necromancer,దయ్యాలపోతు
necromancy,తోడుబోతు
necropolis,శ్మశానము
nectar,అమృతము
nectared,అతిమాధుర్యమైన
need,అక్కర
needed,అవసరమైన
needful,అగత్యమైన
needfulness,అక్కర
needily,దరిద్రముగా
neediness,దారిద్ర్యము
needle,సూది
needs,అగత్యముగా
needy,నిరుపేదైన
neem,వేపచెట్టు
neem tree,వేపచెట్టు
nefarious,పాపిష్టి
negation,కాదనడము
negative,అభావార్ధకమైన
negatively,అభావముగా
neglect,అశ్రద్ధ
neglectful,ఉపేక్షించే
negligence,ఉపేక్ష
negligent,అజాగ్రత్తయైన
negligently,అజాగ్రత్తగా
negotiable,చెల్లే
negotiate,మాట్లాడుట
negotiation,రాజీ
negotiator,మాట్లాడేవాడు
negro,హబ్షీవాడు
neigh,ఇగిలింపు
neighbour,సమీపస్థుడు
neighbourhood,పొరుగు
neighbouring,సమీపమైన
neighbourly,సరసుడైన
neighing,సకిలింపు
neophyte,శిష్యుడు
Nephelium litchi,లీచీ
nephew,మేనల్లుడు
nepotism,స్వాభిమానము
nerve,ధమని
nerveless,బలహీనమైన
nervous,దార్ఢ్యమైన
nervously,దార్ఢ్యముగా
nervousness,దార్ఢ్యము
nescient,అజ్ఞాని
Ness,ద్వీపం
nest,కులాయము
nest egg,పెట్టుబడి
net,వల
nether,అడుగు
nettle,దురదగొండి
nettled,రేగిన
nettlesome,విసుగు
neuter,తటస్థమైన
neutrality,తటస్థత
neutralization,దౌర్బల్యము
neutralized,నీరసమైపోయిన
neutron,తటస్థ సుక్ష్మాణువు
never-say-die,అణచగూడని
nevertheless,ఏది ఏమైననూ
nevus,పుట్టుమచ్చ
New,కొత్తదైన
new,నూతనమైన
New Delhi,ఢిల్లీ
New Zealand,న్యూజిల్యాండ్
New Zealand Islands,న్యూజిలాండ్
newfangled,వింతైన
