T,టన్ను
TAB,మాత్ర
table,పట్టిక
table napkin,తువాలు
taboo,నిషేధము
tabooed,నిషేదించబడ్డ
tabular array,పట్టిక
tache,ఉచ్చు
tacitly,భావేణ
taciturn,మితభాషియైన
taciturnity,మితభాషిత్వము
tack,దోటి
tackle,ఉపకరణము
tackling,సామాను
tact,గట్టితనము
tactfulness,ప్రవర్తన
tail,తోక
tailor,కుట్రపువాడు
tailorbird,లిక్కుజిట్ట
tailoring,కుట్టుపని
taint,కల్మషము
tainted,పాసిన
take,తీసుకొనుట
take fire,కాలుట
take for,ఉంచుట
take off,బయలుదేరు
take the air,కాలినడక
take to the woods,లేచిపోయిన
taken,పుచ్చుకొన్న
tale,కథ
talebearer,చడీఖోరు
talebearing,కొండెము
talent,ప్రతిభ
talented,అంశవంతుడైన
talesman,సామాన్యుడు
taleteller,చాడీకోరు
talipot,తాళపత్రము
talk,మాట
talkative,మాటకారియైన
talkativeness,మాటకారినతము
talker,మాటకారి
tall,పొడుగాటి
tallness,ఔన్నత్యము
tally,లెక్కించటం
tamarind,చింతచెట్టు
tamarind tree,చింతచెట్టు
tamarindo,చింతచెట్టు
Tamarindus indica,చింతచెట్టు
tamarisk,ఝావుకః
Tamarix,ఝావుకః
tame,శాంతమైన
tamed,మరిగిన
tamely,జబ్బుగా
tameness,మెత్తాదితనము
taming,మరగడము
tampered,చెరపబడ్డ
tampering,చెరపడము
Tang,రుచి
tangible,తాకకూడిన
tangle,చిక్కు
tangled,చిక్కుబడ్డ
tank,గుంట
tantalize,ఏమార్చుట
tantalizing,ఏమార్చే
tantamount,తుల్యమైన
tantivy,చివచివ
tantrum,విసుగు
tape,దారము
tape machine,టేప్
tape measure,టేప్
tape recorder,టేప్
tapeline,టేప్
taper,మైనపువత్తి
tapering,కూచిగావుండే
tapestried,చిత్రవిచిత్రమైన
taproot,కుంకటివేరు
tar,కీలు
tardily,జబ్బుగా
tardiness,మందము
tardy,మందమైన
tare,తోపుడు
target,డాలు
targum,భాషాంతరము
tariff,నిరకునామా
tarnished,కళతప్పిన
tarpaulin,కీలుచాప
tarry,ఉండుట
tart,పుల్లని
tartarus,నరకము
tartness,చిరచిర
tarty,తీక్ష్ణముగా
task,కార్యము
tasked,తొందరపడిన
tasker,యజమానుడు
taskmaster,యజమానుడు
taste,చవి
tasteful,యింపైన
tastefully,సరసముగా
tasteless,నీరసమైన
tastelessness,చప్పన
tastily,నాగరీకముగా
tastiness,నాగరీకత
tasty,సరసమైన
tater,బంగాళాదుంప
tatterdemalion,శిథిలమైన
tattered,చినిగిపోయిన
tattle,పేలడము
tattler,వదరుబోతు
tattletale,చాడీకోరు
tattling,పేలడము
tatty,తడక
taunt,నిందించుట
tauntingly,ఎగతాళిగా
Taurus,వృషభరాశి
tautness,బిగువు
tautological,పునరుక్తమైన
tautology,ఆమ్రేడితము
tavern,చావడి
tawny,తామ్రవర్ణమైన
tax,పన్ను
tea,తేయాకు
tea leaf,తేయాకు
teach,బోధన
Teach,బోధన
teachable,శిక్షార్హమైన
teachableness,శిక్షార్హత
teacher,నేర్పేవాడు
teaching,నేర్పడము
team,సైన్యము
tear,చింపి
tearful,ఏడ్చే
tears,ఏడుపు
tease,పీడించుట
teasing,తొందర
teat,చన్ను
technical,పారిభాషికమైన
technicality,సంకేతము
technically,పరిభాషగా
technological,ప్రౌద్యోగిక
technology,టెక్నాలజీ
techy,మండిపడే
tedious,ఆయాసకరమైన
tediously,విసుకుగా
tediousness,చీదర
teeming,నిండిన
teens,అనగా
teeth,పండ్లు
tegument,చర్మము
telecom,టెలిఫోన్
telecommunication,టెలిఫోన్
telegram,తంతి
telegraph,సంజ్ఞాయంత్రము
telephone,ఫోన్
telephony,ఫోన్
telescope,దుర్బీను
telestic,తాత్వికమైన
Tell,చెప్పు
tell,చెప్పు
teller,సూత్రధారుడు
