C,బొగ్గు
cabal,కుట్ర
cabalistic,అతిమర్మమైన
cabalistical,అతిమర్మమైన
cabbage,కోసుకూర
cabin,అల్మారా
cabinet,మంత్రిమండలి
cable,అమారు
caboose,కుంపటి
cackle,అరవడము
cacodemon,దయ్యము
cacophony,అపశబ్దము
cadaverous,పాశిన
cadence,అవరోహణము
Cadent house,ఆపోక్లిమ స్థానము
cadjan,తాటాకు
caduceus,పాశము
Cage,పంజరం
cage,పంజరం
caitiff,దొంగ
Caitra,చైత్రం
cajole,పుసలాయించుట
cajolery,బుజ్జగింపు
cake,మిఠాయి
calabash,దొన్నె
calamine,మయిల్తుత్తము
calamitous,ఆపదైన
calamity,దౌర్భాగ్యము
calathus,కలశము
calcium hydrate,సున్నం
calcium hydroxide,సున్నం
calculate,గణించుట
calculation,యెన్నిక
calculator,యెంచేవాడు
caldera,కేతకి
