rabbet,కూర్చుట
rabbit,సీమకుందేలు
rabbitweed,బాలబంద
rabble,అల్లరిమూక
rabid,చిరచిరలాడే
rabidness,చిరచిరలాడడము
race,వంశము
rachis,వెన్నెముక
raciness,మంచిరుచి
racism,జాత్యహంకారము
rack-rent,దండుగ
racket,కూతలు
racketeer,మోసగాడు
racy,మాధుర్యమైన
radiance,ప్రకాశము
radiancy,కాంతి
radiant,ప్రకాశమైన
radiate,ప్రకాశించుట
radiation,ప్రసరించడము
radical,అదిమ
radically,తుట్రమర
RADIO,రేడియో
radio receiver,రేడియో
radio set,రేడియో
radiocarpal joint,మణికట్టు
radish,ముల్లంగిగడ్డ
radish plant,ముల్లంగి
radix,ధాతువు
raff,పోకిరి
raffish,సొగసైన
raft,కట్టుమాను
rafter,త్రావి
ragamuffin,వూరురోసినవాడు
rage,కోపము
ragee,రాగులు
ragged,చింపి
raggedness,గరుకు
raggy,రాగులు
raging,ఆక్రోశము
ragingly,ఆగ్రహముగా
ragout,కూర
raid,అవాంతరము
rail,అలవ
railer,తిట్టేవాడు
railway,లోహపథమార్గము
raiment,తొడుగు
rain,వర్షం
rainbow,యింద్రధనుస్సు
raise,యెత్తుట
raisin,కిస్మిస్
rajah,రాజు
rake,ఆరగొర్రు
rakehell,దూబరదిండి
rakish,సొగసైన
rakishness,కొంటెతనము
rally,కూడుట
ralph,మాలకాకి
ram,తగరు
ramble,తిరగడము
rambler,లోకసంచారి
rambling,అల్లాడడము
ramification,శాఖోపశాఖలు
ramified,శాఖోపశాఖలైన
rammer,దిమ్మసా
ramp,తాండవమాడుట
rampant,మూర్ఖమైన
rampart,అలంగము
ramping,తాండవమాడే
rampingly,తాండవమాడుతూ
ramshackle,శిథిలమైన
rancidity,మురుగు
rancidness,బూజుకంపు
rancor,చలము
rancorous,పగబట్టిన
rancour,చలము
random,యథేచ్ఛగా
range,పఙ్తి
ranger,తిరిగేవాడు
rank,చాలు
rankle,మెరమెరలాడుట
rankling,మెరమెరలాడే
ransomer,తారకుడు
rant,కూయుట
rantipole,పొగరుబోతు
rap,మొట్టికాయ
rapacious,క్రూరమైన
rapaciously,ఆతురముగా
rapaciousness,ఆతురము
rapacity,దుష్టమృగభావము
rapid,త్వరయైన
rapidity,త్వర
rapidly,త్వరగా
rapidness,త్వర
rapier,ఖడ్గము
rapine,కొల్ల
rapscallion,మోసగాడు
rapt,ఆనందభరితుడైన
rapture,ఆనందము
raptured,ఆనందభరితుడైన
rapturous,ఆనందకరమైన
raptus,ప్రకోపము
rare,అపరూపమైన
rarely,అపరూపముగా
rareness,అపరూపము
rarity,అపరూపము
rascal,పోకిరి
rascality,దొంగతనము
rase,గీచియెత్తివేసుట
rash,దద్దుర్లు
rashly,ఆతురముగా
rashness,అవివేకము
raspberry,బుసకొట్టుట
raspings,రాపొడి
rat,మూషికము
rat-trap,ఎలుకబోను
ratable,తగిన
ratan,బెత్తము
rate,పద్ధతి
rather,ఇష్టముగా
ratification,స్థాపనము
ratify,అంగీకరించుట
ratio,నిష్పత్తి
ratiocination,తర్కము
rational,వివేకవిశిష్టమైన
rationale,అన్వయము
rationalism,హేతువాదము
rationalist,ఆక్షేపించేవాడు
rationality,జ్ఙానము
rationally,తెలివిగా
rattan,బెత్తము
ratter,విశ్వాసఘాతకుడు
rattle,గడగడ
rattlebrained,అవివేకియైన
rattlepated,అవివేకియైన
rattler,గూడ్స్
rattletrap,పనికిమాలినది
ravage,కొల్ల
ravaged,కొల్లపెట్టబడ్డ
ravages,నాశనము
raven,కాకోలము
ravenous,అశనాతురముగల
ravenously,ఆశనాతురముగా
ravenousness,అతిక్షుత్తు
ravine,కనమ
raving,భ్రమమాటలు
raving mad,వెర్రి
ravingly,వెర్రిగా
ravished,చెరపబడ్డ
ravishment,బలాత్కారము
raw,అపక్వమైన
rawness,అనుభవములేని
ray,అంశువు
ray of light,కిరణము
rayah,కాపు
raze,చెరుపుట
razor,క్షురి
razor-thin majority,అతిస్వల్పాధిక్యత
razz,బుసకొట్టుట
razzing,బుసకొట్టుట
re-echo,ప్రతిధ్వనిచేసుట
