ubiquitous,సర్వవ్యాపియైన
ubiquity,సర్వవ్యాపకత్వము
udder,పొదుగు
Uganda,ఉగాండా
ugliness,కురూపము
UK,బ్రిటన్
ukase,చట్టము
ulcer,పుండు
ulcerate,పొక్కించుట
ulterior,అవతలి
ultimate,కడపటి
ultimately,తుదకు
ultra,ప్రచండమైన
ultramontane,విపరీతమైన
umbered,తమాలనీలమైన
umbilicus,బొడ్డు
umbrage,నీడ
umbrageous,నీడగల
umbrella,గొడుగు
umpire,తీర్పరి
unable,అశక్తమైన
unacceptable,అగ్రాహ్యమైన
unaccommodating,విరసమైన
unaccompanied,సహాయుడైన
unaccomplished,తీరని
unaccountability,విపరీతత
unaccountably,వింతగా
unaccustomed,కొత్త
unachievable,లభించని
unacknowledged,ఒప్పుకోని
unacquisitive,ఆశలేని
unactive,పారని
unactuated,అప్రేరితమైన
unadorned,శృంగారించబడని
unadulterated,అచ్చమైన
unadvisable,అనుచితమైన
unadvised,అనాలోచితమైన
unadvisedly,అబుద్ధిపూర్వకముగా
unaffected,నిశ్చయమైన
unaffectedly,నిష్కపటముగా
unaffecting,విరసమైన
unafflicted,తొందరపడని
unagitated,శాంతము
unaided,అసహాయమైన
unalarmed,నిర్భయమైన
unallied,అసంబంధమైన
unalloyed,చొక్కమైన
unalterable,అనన్యధాకరణీయమైన
unalterably,స్థిరముగా
unaltered,మార్చబడని
unambitious,శృంగారములేని
unamiable,మొండి
unanimated,చచ్చిన
unanimity,ఐకకంఠ్యము
unanimously,ఏకగ్రీవముగా
unanswerable,ఖండించకూడని
unapparent,అగుపడని
unappeasable,అణగని
unapplicable,పొందని
unapprehensiveness,జడత
unappropriated,వినియోగపరచబడని
unapproved,అంగీకరించబడని
unapt,అనర్హమైన
unaptly,అయుక్తముగా
unaptness,అనుపయుక్తత
unarmed,నిరాయుధులైన
unarranged,అపరిష్కృతమైన
unarrayed,అలంకరించబడని
unartfully,నిష్కపటముగా
unartificial,అకృత్రిమమైన
unassisted,అసహాయుడైన
unassuming,అణిగిన
unattainable,లభించని
unattended,ఒంటిగా
unauthorised,అనధికృత
unauthorized,అనధీకృత
unavailability,లభించని
unavailableness,పనికిమాలినతనము
unavailing,నిష్ఫలమైన
unavoidable,అనివార్యమైన
unavoidably,అనివార్యముగా
unaware,ఎరగని
unawareness,అజ్ఞానము
unawares,తెలియక
unawed,అలవాటుపడని
unbacked,అసహాయమైన
unbaked,పచ్చి
unbearable,తాళగూడని
unbeatable,అజేయమైన
unbeaten,అరగని
unbecoming,అయోగ్యమైన
unbecomingly,అమర్యాదగా
unbelief,అపనమ్మిక
unbeliever,అప్రత్యయి
unbelieving,నమ్మని
unbend,వదిలించుట
unbendable,దృఢమైన
unbending,వంగని
unbiased,నిష్పక్షపాతమైన
unbiassed,నిష్పక్షపాతమైన
unbid,ఆజ్ఞాపించబడని
unbidden,ఆజ్ఞాపించబడని
unbind,విడుచుట
unbitted,పసుపరచబడని
unblamably,నిర్దోషముగా
unbleached,కారికమైన
unblended,కలియని
unbloody,సాత్వికమైన
unblown,వికసించని
unblunted,తీక్ష్ణమైన
unblushing,శిగ్గుమాలిన
unblushingly,నిర్లజ్జగా
unbolt,తెరుచుట
unbolted,ముతకైన
unborn,అజనితమైన
unbound,కట్టని
unbounded,అపారమైన
unboundedly,అసమితముగా
unbowed,వంగని
unbrace,వదిలించుట
unbreakable,విరగని
unbreathed,పనుపరచని
unbred,అశిక్షితమైన
unbroken,తెగని
unbrotherly,క్రూరుడైన
unbruised,చిదగని
unbuilt,కట్టని
unburied,పాతిపెట్టని
unburnt,కాల్చని
unbusinesslike,అపరూపమైన
unbutton,విచ్చుట
uncalled,పిలువని
uncaring,మర్యాదలేని
uncase,విచ్చుట
uncaught,చిక్కని
uncautious,జాగ్రతలేని
unceasing,ఎడతెగని
unceasingly,ఎడతెగని
uncelebrated,చేయబడని
uncensured,అనిందితమైన
unceremoniousness,అమర్యాద
uncertain,అనిశ్చయమైన
uncertainty,సందేహము
unchain,విడుచుట
unchangeable,మార్పులేని
unchangeableness,నిర్వికారము
unchangeably,నిర్వికారముగా
unchanged,నిర్వికారమైన
unchanging,తిరగని
uncharitable,అధర్మమైన
uncharitableness,కఠినత్వము
uncharitably,క్రూరముగా
unchaste,కొంటెయైన
unchastity,కొంటెతనము
uncheery,విరసమైన
uncircumcision,సున్నతులేమి
uncircumscribed,అమితమైన
uncivilized,మొండి
