jabber,పిచ్చికూతలు
jacinth,పేరోజి
jack,పనసపండు
jack tree,పనసచెట్టు
jackal,నక్క
jackanapes,కోతి
jackass,మొగగాడిదె
jacket,కుడుతా
jackfruit,పనసపండు
jacko,తిమ్మడు
jade,చండాళి
jaded,ప్రాణమువిసికిన
jadish,దుష్ఠ
jagannath,జగన్నాధము
jagg,కక్కు
jaggary,గారబెల్లము
jagged,కక్కులుగల
jaggery,బెల్లం
jaggy,పండ్లుగల
jail,చెరశాల
jail-bird,చెరశాలలోపడివుండేవాడు
jailer,కారాగారాధ్యక్షడు
jailor,కారాగారాధ్యక్షడు
jakes,మరుగు
jalap,తెగడవేరు
jam,అణుచుట
jammed,ఇరుక్కొన్న
Jammu and Kashmir,కాశ్మీర్
jangle,గలగలలాడుట
janissary,టర్కీ
janizary,టర్కీ
janty,కులుకైన
jar,ఘర్షణ
jargon,అధ్వాన్నమైనభాష
jasmine,బొండుమల్లె
jaundice,కామాలరోగము
jaundiced,అసూయగల
jaunt,విహారము
jauntily,కులుకుగా
jauntiness,కులుకు
jaunty,నీటైన
javelin,చెయ్యీటె
jawbreaker,అరపరానికడి
jay,కికీదివి
jazz around,ఆవారా
jealous,అనుమానపడే
jealously,అసూయగా
jealousy,అనుమానము
jeel,చెరువు
jeep,జీప్
jeer,అపహాస్యము
jeering,అపహాస్యము
jejune,నిస్సారమైన
jellied,ముంజెవలెవుండే
jeopard,బడ్డుట
jeoparded,ఒడ్డిన
jeopardy,అపాయము
jerkin,అరచొక్కాయి
jessamine,మల్లెపుష్పము
jesses,అత్తెమలు
jest,ఎకసక్కెము
jester,హాస్యగాడు
jesting,కోణంగితనము
jesuit,కుత్సితుడు
jesuitical,కపటమైన
jesuitically,కపటముగా
jesuitry,చమత్కారము
Jesus,యేసు
Jesus Christ,ఏసుఖ్రీస్తు
Jesus of Nazareth,ఏసుక్రీస్తు
Jeth,జ్యేష్ఠం
jetty,కాటుకనలుపైన
jewel,మణి
jewelled,రత్నఖచితమైన
jeweller,రత్నాలవర్తకుడు
jewellery,రాళ్ళనగలు
jewelry,ఆభరణపుకొట్టు
jewess,యహూదియ్యనారీ
jewry,యూదియాదేశము
jezebel,అతిదుష్టురాలు
jib,తలవంచుట
jibe,వ్యంగ్యం
jiffy,క్షణము
jig,చిందులుదొక్కడము
jilt,మాయలాడి
jingle,గలగలలాడుట
Jinx,శాపము
Job,వృత్తి
job,వృత్తి
jobation,చీవాటు
jockey,వంచించుట
jocose,ఎగతాళియైన
jocosely,పరిహాసముగా
jocoseness,పరిహాసము
jocular,పరిహాసమైన
jocularity,ఎగతాళి
jocularly,ఎగతాళిగా
jocund,ఉల్లాసముగల
jog,ఊగులాడుతూపోవుట
jogging,కదలడము
John Barleycorn,సారా
join,కలుపుట
joined,చేరుకొన్న
joiner,వడ్లవాడు
joinery,వడ్లపని
joining,అతుకు
joint,కీలు
joint committee,సహకార్యవర్గము
jointed,కీళ్ళుగల
jointly,ఉమ్మడిని
jointure,స్త్రీధనము
joist,వాసము
joke,ఎకసక్కెము
jokingly,ఊరికె
jole,మూతి
jollily,ఉత్సాహముగా
jolliness,మత్తు
jollity,మత్తు
jolly,రసికుడు
jolt,కుదలడము
jolthead,జడుడు
jolting,కదలడము
jordan,ఉచ్చకుండ
Jordanian dinar,దీనార్
jorum,చేంబు
Joseph Stalin,స్టాలిన్
jostle,తోసుకొనిపోవుట
jot,రవంత
journal,దినచర్య
journalize,దినచర్యవ్రాయుట
journey,ప్రయాణము
journeying,యాత్ర
journeyman,కూలివాడు
journeywork,లేతపని
joust,మృషామృధము
jovial,రసికుడు
joviality,ఉల్లాసము
jovially,ఉత్సాహముగా
joy,ఆనందము
joyance,ఆనందము
joyful,ఆనందభరితమైన
joyfully,ఆనందముగా
joyfulness,ఆనందము
joyless,సంతోషములేని
joyous,ఆనందకరమైన
jubilant,ఉత్సాహమైన
jubilation,వేడుక
jubilee,ఉత్సవము
jucundity,ఆహ్లాదము
judge,తగవరి
judgement,తెలివి
Judgment,నిర్ణయము
judicatory,ధర్మసభ
judicature,అధికారము
judicial,న్యాయవిచారణ
judicial decision,నిర్ణయము
judiciary,ధర్మాసనము
judicious,తెలివిగల
judiciously,తెలివిగా
judiciousness,ఉపాయము
