da capo,పునః
dab,ముద్ద
dabbled,తడిసిన
dabchick,బాతుపిల్ల
dacoit,బందిపోటుదొంగ
dactyl,ఛందస్సులో
dad,అయ్యా
Dada,నాన్న
daddy,నాన్న
daedal,చిత్రమైన
dagger,కటారి
daggled,తడిసిన
dahanam,దహనం
daily,దినందిన
daintily,స్వారస్యముగా
daintiness,గరాగరికగా
dainty,భోగ్యమైన
dairy,పాలు
Dak,మోదుగచెట్టు
dale,పల్లము
dalliance,సరసం
dally,ముద్దులాడుట
dallying,ముద్దులాడడము
dam,అడ్డుకట్ట
damage,చెడిపోవడము
damaged,చెడిపోయిన
damask,డమాసు
damasked,బుట్టాలువేసిన
dame,అమ్మ
dammer,గుగ్గిలము
damnably,అతి
damnation,దండన
damnatory,శపించే
damnify,నష్టపరుచుట
damning,విషమైన
damp,చిత్తడి
dampness,చిత్తడి
damsel,కన్య
dance,ఆట
dancer,ఆడేది
dancing,ఆట
dandriff,చుండు
dandruff,చుండు
dandy,బడాయిఖోరు
Dane,డెన్
danger,అపాయము
dangerous,అపాయమైన
dangerously,అపాయముగా
dangerousness,అపాయము
dangle,వికారముగా
Danish,డెన్
dapper,సొగసైన
dapple,చిత్రవర్ణము
dappled,చిత్రవర్ణమైన
dare,సవాలు
daring,తెగువగల
daringly,సాహసముగా
dark,అంధకారము
dark lunar fortnight,ఇరులపెడ
dark-green,పచ్చ
darken,చీకటిపరుచుట
darkish,కొంచెమునల్లని
darkling,అంధకారమందు
darkly,చీకటిగా
darkness,అంధకారము
darling,బంగారుకొండ
darn,రప్పుచేసుట
darnel,గురుగాకు
dart,బాణము
dash,అడ్డగీత
dashed,కుంగకొట్టిన
dashing,కొట్టే
dastard,కోచ
dastardly,పందైన
data processor,కంప్యూటర్
date,ఖర్జూరపండు
dated,తేదిగల
dateless,మరణములేని
dative,కి
daub,పూత
daubed,పూసిన
daubing,లేపనము
daughter,కూతురు
daughter-in-law,కోడలు
daunt,భయపరుచుట
daunted,దిగులుపడ్డ
dauntless,దిగులుపడని
dawdle,సోమారిగొడ్డు
dawdling,జాప్యముచేసుట
dawk,టపాలు
dawn,ప్రాతఃకాలము
dawning,వుదయము
day,అహస్సు
day labourer,కూలివాడు
day of the week,దినము
day-dream,చలచిత్తము
daybook,కడితము
daybreak,అరుణోదయము
daylight,పగలు
daysman,మధ్యవర్తి
dayspring,అరుణోదయకాలము
daystar,వేకువచుక్క
daytime,పగలు
dazzle,చేయుట
dazzled,భ్రమపడ్డ
de facto,వస్తుతః
de jure,విధితః
de novo,పునః
deacon,దాసుడు
dead,చచ్చిన
dead body,శవము
dead end,అవరోధం
dead reckoning,ఉజ్జాయింపు
dead room,శ్మశానము
deaden,మాన్పరుచుట
deadened,తక్కువపడ్డ
deadening,విసుగు
deadlock,అవరోధం
deadly,చంపే
deadness,జడత
deaf,చెవిటి
deaf-and-dumb person,మూగ
deaf-mute,మూగ
deafening,వురుమువంటి
deafness,చెవుడు
deal,భాగము
dealer,వర్తకుడు
dealing,నడక
dealings,ఇచ్చిపుచ్చుకోవడం
dealt,తగిలించిన
dean,కులపెద్ద
